autor,title,source,issue,year,session,keywords,abstract,id,link,
"SOUSA, Brisa Pozzi de; SILVA, Flávio Pacheco da","Linguagem Natural no Twitter e Linguagem Documentária em Tesauros: da hashtag #NãoMereçoSerEstuprada ao descritor estupro@pt-BR","InCID: Revista de Ciência da Informação e Documentação","n. 2, v. 6 n. 2, p. 20-43","2015","Artigo</a>","","Aponta a linguagem natural no Twitter a partir da hashtag #NãoMereçoSerEstuprada e realiza comparação entre a linguagem documentária de dois tesauros pelo descritor estupro, sendo o Thesaurus Brasileiro da Educação (Brased) e o Tesauro Jurídico do Superior Tribunal de Justiça (STJ). A pesquisa é descritiva e bibliográfica, de cunho qualitativo, embasada na investigação teórica. Discorre sobre vantagens e desvantagens no uso dessas linguagens e demonstra que na natural qualquer palavra, ou até mesmo conjunto de palavras podem ser utilizadas como hashtag para representar qualquer assunto. No entanto, observa-se que o controle do vocabulário é um elemento essencial para a representação de assuntos, pois é uma linguagem artificial produzida com o objetivo de sistematizar o vocabulário controlando, como por exemplo, a polissemia. Os resultados demonstram que a linguagem natural no Twitter não padroniza a representação do assunto sendo considerada fator dispersivo, ao contrário das linguagens documentárias que apresentam vocabulário caracterizado pela precisão dos descritores.@pt-BR Points natural language on Twitter from the hashtag # NãoMereçoSerEstuprada and performs comparison between the two indexing language thesaurus descriptor for rape, and the Brazilian Thesaurus of Education (Brased) and the Legal Thesaurus Superior Court of Justice (STJ). The research is descriptive and bibliographical, of qualitative nature, based on theoretical research. It discusses advantages and disadvantages of using these languages in natural and demonstrates that any word, or even whole words may be used as hash tag to represent any subject. However, it is observed that the control of vocabulary is an essential element for the representation issue, it is an artificial language produced in order to systematize the vocabulary control, such as polysemy. The results show that the natural language Twitter does not standardize the representation of the subject under consideration dispersive factor, unlike the documentary language vocabulary characterized by the feature that the accuracy of descriptors.@en ","40864","https://brapci.inf.br/index.php/res/v/40864","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/53645"
"PEREIRA, Débora de Carvalho; CRUZ, Ruleandson do Carmo","Folksonomia e tags afetivas: comunicação e comportamento informacional no Twitter@pt-BR","DataGramaZero","n. 6, v. 11","2010","Artigo Científico</a>","Folksonomia; Marcacao semantica; Afetividade; Rede social virtual; Estudo de usuarios; Folksonomy; Semantic markup; Affectivity; Virtual social networking; Information behavior; Twitter","A partir da discussão conceitual de ?folksonomia? e ?comunidades virtuais?, este artigo elabora algumas reflexões acerca das tags afetivas no Twitter, ou seja, as marcações que dão valor semântico aos fluxos de informação que trafegam no twitter. A marcação semântica permite identificar afetividade amorosa, sexual, amizade ou solidariedade nas tribos que se comunicam por este dispositivo de microblog. O objetivo é demonstrar que as marcações semânticas relacionadas ao afeto não são apenas informações individuais desconectadas da coletividade, mas, pelo contrário, fornecem elementos de reforço da identidade cultural e permitem a identificação de tribos unidas por interesses comuns.@pt-BR Following the conceptual discussion of ´folksonomy´ and ´virtual communities´, this paper develops some reflections on the affective tags on Twitter, or markings that give semantic value to information flows that travel on twitter. The semantic markup identifies loving affection, sex, friendship and solidarity among the tribes that communicate through this device microblogging. The goal is to demonstrate that the semantic markup related to the affect not only individual information disconnected from society, but rather provide the elements of strengthening cultural identity and enable the identification of tribes united by common interests.@en ","7255","https://brapci.inf.br/index.php/res/v/7255","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/45597"
"MALINI, Fabio; CIARELLI, Patrick; MEDEIROS, Jean","O sentimento político em redes sociais: big data, algoritmos e as emoções nos tweets sobre o impeachment de Dilma Rousseff | Political sentiment in social networks: big data, algorithims and emotions in tweets about the impeachment of Dilma Rousseff@pt-BR","Liinc em revista","n. 2, v. 13","2017","Desinformação e Hiperinformação na Rede Digital Contemporâneas | Disinformation, Misinformation and Hyper-information</a>","","Resumo Este artigo se propõe a ampliar a metodologia perspectivista (MALINI, 2016) de análise de redes sociais, incorporando um procedimento de análise dos sentimentos das mensagens postadas em redes de controvérsias políticas, em particular, em dois momentos distintos da campanha pelo impeachment da presidenta Dilma. O primeiro é o período da eclosão das manifestações antipetistas, no dia 15 de março de 2015. O segundo, dia 27 de agosto de 2016, quando a presidenta é deposta do cargo. Realiza uma revisão sobre a análise de sentimentos em megadados do Twitter e constrói uma metodologia que combina classificação humana de textos com aplicação de algoritmos genéticos de análise de textos, no intuito de analisar sentimentos genéricos (baseado na polarização positivo/negativos) e sentimento específicos, baseados nas seguintes emoções: Alegria, Raiva, Medo, Antecipação, Desgosto, Tristeza, Surpresa e Confiança. Conclui demonstrando que os movimentos pró e anti-Dilma são marcados pelo predomínio de sentimento de raiva, medo e ansiedade, confirmando a hipótese que a trolagem ofensiva demarca o estilo da indignação propagada em redes políticas no Twitter brasileiro.  Palavras-Chave: Análise de Sentimento; Big Data; Redes; Política; Twitter.Abstract This article aims to expand the perspectivist methodology (Malini, 2016) of social networks analysis, incorporating a proceeding of sentiment analysis of the messages posted in networks of political controversies, in particular, in two distinct moments of the campaign for the impeachment of President Dilma. The first is the period of the outbreak of PT protests, on March 15, 2015. The second, on August 27, 2016, when the president is deposed. We will be doing a theoretical review about sentiment analysis in Big Data on Twitter to build a methodology that combines human classification of texts with the application of genetic algorithms of text analysis and to analyze generic sentiments (based on positive / negative polarization) and specific sentiment, based on emotions like Joy, Anger, Fear, Anticipation, Disgust, Sadness, Surprise and Trust. It concludes by demonstrating that pro and anti-Dilma movements are marked by a predominance of anger, fear and anxiety, confirming the hypothesis that an offensive trolling demarcates the style of indignation propagated by political networks in Brazilian Twitter.Keywords: Sentiment Analysis; Big Data; Social Network; Politics; Twitter. @pt-BR ","93425","https://brapci.inf.br/index.php/res/v/93425","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/95342"
"PORTELLA, Viviane Portella de; PEREZ, Carlos Blaya","Práticas comunicacionais: difusão no Arquivo Público do Estado do Rio Grande do Sul nos diferentes meios de comunicação online@pt-BR","Em Questão","n. 1, v. 18, p. 197-212","2012","Artigo</a>","Blog; 1 ciencia da informacao; Arquivologia; Arquivo publico; Difusao; Ferramenta de comunicacao online; Pratica comunicacional de difusao em arquivo; Archivo publico; Difusion; Herramientas de la comunicacion en linea; Public archive; Diffusion; Tools of communication online; Twitter","O Arquivo Público do Estado do Rio Grande do Sul tem por missão preservar a memória do Estado com ações voltadas à gestão documental e a cultura. Para isso é fundamental que a sociedade tenha ciência dos acervos custodiados e dos serviços prestados. Dessa forma, após pesquisa sobre modos de difusão, optou-se pelo uso de ferramentas de comunicação online de uso gratuito, com foco em blog e microblog. Assim, foi elaborado um projeto de difusão que contempla a metodologia de criação e administração das ferramentas de comunicação online. O uso dessas ferramentas como estratégia de difusão do APERS representa a inserção da instituição em um novo espaço de comunicação, o qual possibilita a fidelização dos usuários e, também, funciona como um atrativo para novos públicos.@pt-BR El Arquivo Público do Estado do Rio Grande do Sul tiene para que la misión preserve la memoria del Estado con las acciones dirigidas a la gerencia documental y a la cultura. Para eso es básico que la sociedad tiene ciencia de las cantidades de los custodiados y de los servicios dados. De tal manera después de que la investigación sobre formas de la difusión optara al uso de la comunicación filetea en línea de uso gratuito, con el foco en blog y microblog. Así un proyecto de la difusión fue elaborado, que comtempla la metodología de la creación y de la administración de las herramientas de la comunicación en línea. El uso de estas herramientas como estrategia de la difusión del APERS representa la inserción de la institución en un nuevo espacio de la comunicación, que hace posible el fidelidad de los usuarios y, también, del él funciona como atractivo para el nuevo público.@es-ES The Arquivo Público do Estado do Rio Grande do Sul has for mission to preserve the memory of the State with actions directed to the documentary management and the culture. For that is basic that the society is aware of it documentary sources custody quantities and the given services. In such a way after research on diffusion forms opted to the use of communication tools online of gratuitous use, with focus in blog and microblog. Thus a diffusion project was elaborated, which contemplates the methodology of creation and administration of the communication tools online. The use of these tools as strategy of diffusion of the APERS represents the insertion of the institution in a new space of communication, which makes possible the to stick by of the users and, also, it functions as an attractive one for new public.@en ","9291","https://brapci.inf.br/index.php/res/v/9291","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/46369"
"ARAÚJO, Ronaldo Ferreira de","Recursos da Web 2.0 e suas contribuições na Prática Pedagógica do Ensino de Biblioteconomia@pt-BR","InCID: Revista de Ciência da Informação e Documentação","n. 1, v. 4 n. 1, p. 163-181","2013","Relato de Experiência</a>","","aborda utiliza&ccedil;&atilde;o de recursos da web 2.0 na pr&aacute;tica pedag&oacute;gica no apoio ao processo de ensino e aprendizagem. Relata a experi&ecirc;ncia desenvolvida durante a realiza&ccedil;&atilde;o da disciplina &ldquo;Inform&aacute;tica aplicada &agrave; Biblioteconomia II&rdquo; do curso de Biblioteconomia da Universidade Federal de Alagoas (UFAL) durante o primeiro semestre do ano de 2011. O objetivo foi analisar a possibilidade de se utilizar recursos da web 2.0 como aportes metodol&oacute;gicos ao ensino da disciplina. Foi criada uma hastag para o acompanhamento e discuss&atilde;o da disciplina no Twitter. Por meio de busca manual no pr&oacute;prio Twitter e uso da Plataforma Topsy monitorou-se 514 mensagens compartilhadas pelos alunos e professor. Analisa a participa&ccedil;&atilde;o e engajamento dos alunos na disciplina por meio: da distribui&ccedil;&atilde;o das mensagens por m&ecirc;s, dia da semana e hor&aacute;rio do dia; da interatividade, verificada a partir dos mentions, replies, e retweets. Como resultado verificou-se uma aprendizagem distributiva e cont&iacute;nua na qual o assunto discutido ultrapassa as limita&ccedil;&otilde;es espa&ccedil;o-temporal da sala de aula, com envolvimento ativo e exerc&iacute;cio da autonomia por parte dos alunos.@pt-BR Discuss about the use of web 2.0 resources in teaching practice to support the process of teaching/learning. We report the experience developed during the "Informatics applied to librarianship II" discipline of the University Federal de Alagoas (UFAL) Librarianship Course, during the first half of 2011. The aim was to analyze the possibility of using web 2.0 resources as methodological contributions to that discipline. It was created a hastag for monitoring and discussion of the subject on Twitter. Through manual search in Twitter itself and use the Topsy Platform it was monitored 514 messages shared by students and teacher. Examines the participation and engagement of students in the discipline through: the distribution of messages per month, day of week and time of day; interactivity, seen from the mentions, replies and retweets. The results are a distributive and continuous learning in which the topics discussed overcomes the space-time limitations of the classroom, with active involvement and autonomy exercise&nbsp; by the students.@en ","39839","https://brapci.inf.br/index.php/res/v/39839","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/52947"
"ARAÚJO, Ronaldo Ferreira de","A prática pedagógica no ensino de biblioteconomia: interação e colaboração no contexto da web 2.0@pt-BR","Encontros Bibli: Revista Eletrônica de Biblioteconomia e Ciência da Informação","n. 36, v. 18, p. 129-156","2013","Artigo</a>","1 ciencia da informacao; Biblioteconomia; Pratica pedagogica; Ensino de biblioteconomia; Web 2.0; Twitter","http://dx.doi.org/10.5007/1518-2924.2013v18n36p129 apresenta breves considerações sobre a inserção das tecnologias de informação e comunicação no trabalho docente do ensino de Biblioteconomia no Brasil e aborda a prática pedagógica na área a partir dos suportes tecnológicos com ênfase no uso de recursos da web 2.0 no apoio ao processo de ensino e aprendizagem. Com o intuito de contribuir com a discussão descreve um experimento, baseado em uma prática pedagógica interativa, desenvolvido durante a realização da disciplina ?Informática aplicada à Biblioteconomia II? do curso de graduação em Biblioteconomia da Universidade Federal de Alagoas (UFAL) no primeiro semestre do ano de 2011. Por meio de uma abordagem netnográfica, as discussões em torno da disciplina postadas no microblog Twitter foram monitoradas, com o propósito de averiguar a possibilidade do uso de recursos da web 2.0 como aportes metodológicos ao ensino da disciplina. Ao todo foram identificados 514 tweets e pelo perfil de compartilhamento (distribuição das mensagens por mês, dia da semana e horário do dia) e das conversações estabelecidas (mentions, replies, e retweets) considera que a ferramenta utilizada confirma a lógica de um recurso baseado no contexto da web 2.0, que por sua premissa de interação e colaboração, facilita a participação e engajamento dos alunos na disciplina. A aprendizagem distributiva e contínua na qual o assunto discutido ultrapassou as limitações espaço-temporal da sala de aula foi identificada, bem como o envolvimento ativo e exercício da autonomia por parte dos alunos. Conclui-se que, pensar a educação no contexto de uma constante evolução tecnológica altera de forma significativa as práticas pedagógicas e exige uma postura de contínua reformulação do trabalho docente@pt-BR ","32585","https://brapci.inf.br/index.php/res/v/32585","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/43854"
"BEZERRA, Arthur Coelho; ALMEIDA, Marco Antonio","Rage against the machine learning@en","Brazilian Journal of Information Science","n. 2, v. 14 No 2 Abr-Jun, p. 6-23","2020","Artigo</a>","","Before being an exaltation to Luddites (the English workers from the 19th century who actually destroyed textile machinery as a form of protest) or to some sort of technophobic movement, the provocative pun contained in the title of this article carries a methodological proposal, in the field of critical theory of information, to build a diagnosis about the algorithmic filtering of information, which reveals itself to be a structural characteristic of the new regime of information that brings challenges to human emancipation. Our analysis starts from the concept of mediation to problematize the belief, widespread in much of contemporary society, that the use of machine learning and deep learning techniques for algorithmic filtering of big data will provide answers and solutions to all our questions and problems. We will argue that the algorithmic mediation of information on the internet, which is responsible for deciding which information we will have access to and which will remain invisible, is operated according to the economic interests of the companies that control the platforms we visit on the internet, acting as obstacle to the prospects of informational diversity and autonomy that are fundamental in free and democratic societies.@en ","141767","https://brapci.inf.br/index.php/res/v/141767","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/141768"
"SAMPAIO, Denise Braga; LIMA, Izabel de França; ROSA, Maria Nilza Barbosa; OLIVEIRA, Bernardina Maria Juvenal Freire","Redes Sociais como Lugares Enviesados de Memória: um discurso coletivo da paralização dos caminhoneiros de 2018@pt-BR","Informação & Informação","n. 1, v. 25, p. 66-91","2020","Artigo</a>","1 ciencia da informacao; Memoria; Memoria coletiva; Rede social; Compartilhamento da informacao; Greve","Trata-se de pesquisa exploratória cujo objetivo principal é o de descortinar as relações existentes entre memória coletiva e redes sociais, em especial, o Instagram. Os objetivos específicos são verificar as fotografias relacionadas à paralisação dos caminhoneiros (ocorrida em maio 2018) no Instagram do jornal cearense O Povo Online, categorizar essas publicações segundo critérios de forma e conteúdo e verificar as ideias principais enunciadas nas legendas das fotografias das postagens mais curtidas pelos leitores. Para tal apreciação, toma por instrumentos da pesquisa o questionário semiestruturado e as matérias do O Povo Online referentes à paralisação. Os dados levantados no questionário foram sopesados pelo Discurso do Sujeito Coletivo e comparados com as publicações do jornal, tendo por resultado que as redes sociais são uma potencial ferramenta de rememoração, no entanto, limitadas graças à sua natureza dinâmica e fluida.@pt-BR ","137745","https://brapci.inf.br/index.php/res/v/137745","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/138610"
"OLIVEIRA, Carina Capelão de; VIEIRA, Carolina Coimbra; LOPES, Ananda de Oliveira","Critérios para seguir usuários e bots no Twitter@pt-BR","Múltiplos Olhares em Ciência da Informação","n. 2, v. 5","2015","Artigo</a>","Analise de rede social; Pesquisa de usuario; Bot; Twitter","A ciência tem procurado refletir sobre as redes sociais na internet, dada a sua popularidade. Muitos artigos científicos têm feito referência à utilização de bots como forma de publicar conteúdo com maior abrangência em tais redes, e alguns deles demonstram que simples técnicas de programação podem fazer com que os bots se tornem muito populares. Com o objetivo de investigar o que levam as pessoas a seguirem bots, neste trabalho, analisamos a dinâmica entre seguidores/seguidos na rede social Twitter para obter informações acerca dos fatores que motivam os indivíduos a seguir pessoas desconhecidas, de forma a investigar por que alguns bots são mais populares que os outros. Foram aplicados questionários junto a 31 usuários do Twitter e entrevistados outros 5. Por meio desta pesquisa de campo, concluiu-se que a qualidade do conteúdo postado (tema e dinâmica de atualização) são os fatores mais importantes para que um usuário opte por seguir outro, seja este um bot ou não.@pt-BR ","61606","https://brapci.inf.br/index.php/res/v/61606","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/78718"
"FERREIRA, Janaína Tenório Lopes; ARAÚJO, Ronaldo Ferreira de","COMPARTILHAMENTO DE INFORMAÇÃO AMBIENTAL E A REPERCUSSÃO DO CÓDIGO FLORESTAL NO TWITTER@pt-BR","Ciência da Informação em Revista","n. 1, v. 2, p. 44-54","2015","Relato de Pesquisa</a>","1 ciencia da informacao; Biblioteconomia; Informacao ambiental; Compartilhamento de informacao; Codigo florestal; Twitter","Por meio de uma pesquisa exploratória de inspiração netnográfica de observação não intervencionista, o artigo analisa a repercussão do Código Florestal no microblogging Twitter no ano de 2011, através da hashtag #CódigoFlorestal. A coleta dos dados foi realizada por meio de buscas manuais no microblog e complementada pelos serviços do Topsy e do Google Alerta. O comportamento da comunidade analisada se deu por distribuição temporal, caracterização das mensagens, identificação e caracterização dos usuários, compreensão dos comportamentos informacionais em seus aspectos interativos e comunicacionais. No total foram identificados 30.795 tweets emitidos por 1.083 usuários. Mensagens interativas (28.181) superam as informativas (2.614). Considera-se que a rede social Twitter contribui para a expansão e intensidade de vínculos sociais de uma sociedade virtualmente conectada, e que nesse espaço a informação ambiental encontrou um meio apropriado de organização, de troca social e de estratégia para mobilizar cidadãos/atores a se tornarem protagonistas do fazer social no seu contexto local e global.@pt-BR ","36447","https://brapci.inf.br/index.php/res/v/36447","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/47798"
